,biomass_MW,coal_MW,gas_MW,geothermal_MW,hydro_MW,oil_MW,other_MW,other_renewable_MW,solar_MW,waste_MW,wind_MW,carbon_intensity_gCO2_kWh,target_1h,target_2h,target_3h,target_4h,target_5h,target_6h,target_7h,target_8h,target_9h,target_10h,target_11h,target_12h,target_13h,target_14h,target_15h,target_16h,target_17h,target_18h,target_19h,target_20h,target_21h,target_22h,target_23h,target_24h,hour,day_of_week,month,hour_sin,hour_cos,week_sin,week_cos,month_sin,month_cos,is_weekend,lag_0h,lag_1h,lag_24h,lag_168h,rolling_mean_24h,rolling_std_24h
2026-09-23 00:00:00+00:00,3612.80604,16557.4018475,8514.246070000001,19.00702,36.3814,312.928,203.88805,71.451,0.0655,804.0563,1869.7516975,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,0,2,9,0.0,1.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,656.6386918751377,654.9393841228054,517.6152783350796,465.8597822255453,470.5460210268707,135.78073116028546
2026-09-23 01:00:00+00:00,3611.73749,16390.805925,8426.68476,19.00702,37.275475,313.026335,203.92855,71.451,0.0615,804.0106999999999,1983.979445,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,1,2,9,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,653.5061527070069,656.6386918751377,536.2970427647441,480.6496951993889,476.33866325770646,140.7506296557462
2026-09-23 02:00:00+00:00,3623.10964,16453.726655,8446.3314075,19.00702,36.4956,312.92633249999994,203.9538,71.451,0.05125,797.55995,2165.192455,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,2,2,9,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,650.0805141388547,653.5061527070069,552.4305628458844,493.436476676085,481.2223761719674,144.89395081681238
2026-09-23 03:00:00+00:00,3708.760215,16787.990535,8697.676552500001,19.00702,587.16615,313.024665,207.7048,71.451,0.06175,791.9954250000001,2250.3757525,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,339.36695702235056,3,2,9,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,638.3007644375507,650.0805141388547,568.3351228957714,517.2762058005928,485.29112414250784,148.3112271810931
2026-09-23 04:00:00+00:00,3899.28424,17057.295247500002,9159.8732875,19.00702,4147.565025,313.4446675,211.22555,71.451,1.596,790.246625,1788.056265,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,339.36695702235056,326.3080565124328,4,2,9,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,585.5816913713276,638.3007644375507,552.3844883566406,497.1333633456032,488.20635920674863,150.6831891731346
2026-09-23 05:00:00+00:00,4015.257515,16834.629145,9230.0014125,19.00702,5952.74965,313.208835,211.1158,71.451,1996.987,793.351825,2835.1456325,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,339.36695702235056,326.3080565124328,316.1884708466948,5,2,9,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,519.0829900604463,585.5816913713276,511.2567028112189,462.6217164596858,489.5895759990272,151.44836178513248
2026-09-23 06:00:00+00:00,4003.22749,16133.4237525,8943.984432500001,19.00702,3204.852825,313.37633500000004,211.0468,71.451,12819.548,812.3069499999999,3088.4117775,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,339.36695702235056,326.3080565124328,316.1884708466948,295.14499558185685,6,2,9,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,435.5075929660765,519.0829900604463,449.9478491430429,423.4972354294342,489.9156713010784,151.50545830078443
2026-09-23 07:00:00+00:00,3863.370765,14033.0639275,7125.77643,19.00702,447.5144,313.342165,210.60705,71.451,27112.98975,599.741725,2650.8981875,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,339.36695702235056,326.3080565124328,316.1884708466948,295.14499558185685,268.1784346474034,7,2,9,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,339.7373696318164,435.5075929660765,381.0337185700609,376.9669613204904,489.3139939603714,151.6996336283619
2026-09-23 08:00:00+00:00,3722.01494,12422.2482325,4467.35652,19.00702,151.210575,313.3296675,203.6208,71.451,38644.7925,764.754425,2054.90704,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,339.36695702235056,326.3080565124328,316.1884708466948,295.14499558185685,268.1784346474034,237.5376303497701,8,2,9,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,271.23366831593216,339.7373696318164,314.9964105344489,319.9236328260907,487.5933127546112,153.20792975901028
2026-09-23 09:00:00+00:00,3618.32154,10160.40803,3691.5997975,19.00702,48.16125,313.024665,186.5633,71.451,46169.723,789.99635,2003.995305,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,353.92437734982974,342.2551075058836,333.88836820858177,339.36695702235056,326.3080565124328,316.1884708466948,295.14499558185685,268.1784346474034,237.5376303497701,215.35586703678516,9,2,9,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,222.9379434914668,271.23366831593216,281.9810462538161,280.86283098206684,485.7698651621731,155.59331186904066
